CID,IsomericSMILES,sweet,floral,minty,pungent
31249,CCOC(=O)CCC(=O)OCC,-1,-1,-1,-1
31265,CCCCCC(=O)OCC,-1,-1,-1,-1
31272,CCCCOC(=O)C,-1,-1,-1,-1
31276,CC(C)CCOC(=O)C,-1,-1,-1,-1
61016,CC(CCC=C(C)C)C=O,-1,-1,-1,-1
61138,C=CCCC(=O)O,-1,-1,-1,-1
62336,CC(C1=CC=CC=C1)C(OC)OC,-1,-1,-1,-1
62433,CCCCCOC(=O)CCCC,-1,-1,-1,-1
62444,CCCC(=O)SC,-1,-1,-1,-1
62465,CCC1=CC(=C(C=C1)O)OC,-1,-1,-1,-1
91497,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,-1,-1,-1,-1
440917,CC1=CC[C@@H](CC1)C(=C)C,-1,-1,-1,-1
440967,CC1([C@H]2CCC(=C)[C@@H]1C2)C,-1,-1,-1,-1
443158,CC(=CCC[C@](C)(C=C)O)C,-1,-1,-1,-1
443162,CC1=CC[C@H](CC1)C(C)(C)O,-1,-1,-1,-1
637511,C1=CC=C(C=C1)/C=C/C=O,-1,-1,-1,-1
637566,CC(=CCC/C(=C/CO)/C)C,-1,-1,-1,-1
5281168,CCC/C=C/C=O,-1,-1,-1,-1
5281515,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,-1,-1,-1,-1
5283349,CCCCC/C=C/C=C/C=O,-1,-1,-1,-1
5373603,CC/C=C\1/C2=CC=CC=C2C(=O)O1,-1,-1,-1,-1
