model,f1_macro,f1_micro,exact_match,hamming_loss,training_time,sweet_f1,floral_f1,minty_f1,pungent_f1,sweet_precision,floral_precision,minty_precision,pungent_precision,sweet_recall,floral_recall,minty_recall,pungent_recall,sweet_auc,floral_auc,minty_auc,pungent_auc,sweet_pr_auc,floral_pr_auc,minty_pr_auc,pungent_pr_auc
lightgbm,0.6345522605334862,0.7046750285062714,0.48633879781420764,0.17691256830601093,6.786452054977417,0.6958637469586375,0.7605633802816901,0.65625,0.425531914893617,0.697560975609756,0.7894736842105263,0.7241379310344828,0.38461538461538464,0.6941747572815534,0.7336956521739131,0.6,0.47619047619047616,0.7150182038834952,0.8544403965599617,0.8947345705653863,0.9104209799861973,0.7796135444697792,0.8242732473053276,0.6510095657441176,0.4095629692568302
xgboost,0.6343177708019967,0.7185354691075515,0.5,0.1680327868852459,2.751335859298706,0.7090464547677262,0.7796610169491526,0.6764705882352942,0.37209302325581395,0.7142857142857143,0.8117647058823529,0.696969696969697,0.36363636363636365,0.7038834951456311,0.75,0.6571428571428571,0.38095238095238093,0.7279126213592234,0.855873745819398,0.9050064738886492,0.9367839889579019,0.7928940267710048,0.8337977945912872,0.7007554536404218,0.49514644322278617
